frame,OH_SiO2,OH_CSH_on_O_Hydroxyl,OH_CSH_on_O_Bridging,OH_CSH_Water,OH_IF,OH_IF_CaCoord,OH_SiO2_per_nm2,OH_CSH_on_O_Hydroxyl_per_nm2,OH_CSH_on_O_Bridging_per_nm2,OH_CSH_Water_per_nm2,OH_IF_per_nm2,OH_IF_CaCoord_per_nm2,OH_SiO2_per_nm3,OH_CSH_on_O_Hydroxyl_per_nm3,OH_CSH_on_O_Bridging_per_nm3,OH_CSH_Water_per_nm3,OH_IF_per_nm3,OH_IF_CaCoord_per_nm3
82,180,280,0,172,389,208,9.272980608,14.4246365,0,8.860848136,20.03994142,10.71544426,4.022362965,6.257009057,0,3.843591278,8.692773298,4.648063871
83,180,278,0,170,380,218,9.272980608,14.32160338,0,8.757815018,19.57629239,11.23060985,4.02389984,6.214689753,0,3.800349849,8.494899662,4.873389806
84,180,279,0,170,390,208,9.272980608,14.37311994,0,8.757815018,20.09145798,10.71544426,4.052229696,6.280956028,0,3.827105824,8.779831007,4.682576537
85,180,276,0,170,384,214,9.272980608,14.21857027,0,8.757815018,19.78235863,11.02454361,4.070072552,6.240777913,0,3.84395741,8.682821444,4.838864034
86,180,281,0,171,367,230,9.272980608,14.47615306,0,8.809331577,18.90657713,11.84880855,4.050495942,6.323274221,0,3.847971145,8.258511171,5.175633704
87,180,280,0,170,380,218,9.272980608,14.4246365,0,8.757815018,19.57629239,11.23060985,4.039167157,6.283148911,0,3.814768982,8.527130665,4.891880223
88,180,279,0,170,380,218,9.272980608,14.37311994,0,8.757815018,19.57629239,11.23060985,4.050377404,6.278084976,0,3.825356437,8.550796741,4.905457078
89,180,285,0,170,382,216,9.272980608,14.6822193,0,8.757815018,19.67932551,11.12757673,4.04299219,6.401404301,0,3.818381513,8.58012787,4.851590628
90,180,279,0,170,376,222,9.272980608,14.37311994,0,8.757815018,19.37022616,11.43667608,4.048692962,6.275474091,0,3.823765575,8.457269743,4.993387987
91,180,282,0,170,364,234,9.272980608,14.52766962,0,8.757815018,18.75202745,12.05487479,4.045530355,6.337997556,0,3.820778668,8.180961384,5.259189461
92,180,273,0,170,377,220,9.272980608,14.06402059,0,8.757815018,19.42174272,11.33364297,4.066085586,6.166896473,0,3.840191943,8.516190367,4.969660161
93,180,282,0,170,386,212,9.272980608,14.52766962,0,8.757815018,19.88539175,10.92151049,4.057558825,6.356842159,0,3.83213889,8.70120948,4.778902616
94,180,282,0,170,372,224,9.272980608,14.52766962,0,8.757815018,19.16415992,11.5397092,4.052165948,6.348393319,0,3.827045618,8.374476293,5.042695402
95,180,277,0,170,366,232,9.272980608,14.27008682,0,8.757815018,18.85506057,11.95184167,4.040001284,6.217113087,0,3.815556768,8.214669278,5.207112766
96,180,278,0,172,372,224,9.272980608,14.32160338,0,8.860848136,19.16415992,11.5397092,4.046456281,6.249526923,0,3.86661378,8.362676315,5.035590039
97,180,284,0,170,360,238,9.272980608,14.63070274,0,8.757815018,18.54596122,12.26094103,4.035964074,6.367854428,0,3.811743848,8.071928149,5.336441387
98,180,277,0,170,384,214,9.272980608,14.27008682,0,8.757815018,19.78235863,11.02454361,4.059671832,6.247383874,0,3.834134508,8.660633241,4.826498733
99,180,282,0,172,370,226,9.272980608,14.52766962,0,8.860848136,19.0611268,11.64274232,4.038042335,6.326266324,0,3.858573787,8.300420355,5.069986487
100,180,276,0,170,381,218,9.272980608,14.21857027,0,8.757815018,19.62780895,11.23060985,4.051445385,6.212216256,0,3.826365085,8.575559397,4.906750521
101,180,278,0,172,375,220,9.272980608,14.32160338,0,8.860848136,19.3187096,11.33364297,4.040957259,6.241033988,0,3.861359158,8.418660955,4.938947761
102,180,279,0,170,388,210,9.272980608,14.37311994,0,8.757815018,19.98842487,10.81847738,4.044917129,6.26962155,0,3.820199511,8.719043589,4.719069984
103,180,275,0,170,376,222,9.272980608,14.16705371,0,8.757815018,19.37022616,11.43667608,4.053395215,6.192687134,0,3.828206592,8.467092227,4.999187432
104,180,281,0,172,384,212,9.272980608,14.47615306,0,8.860848136,19.78235863,10.92151049,4.040618302,6.307854128,0,3.861035267,8.619985712,4.758950445
105,180,273,0,172,390,206,9.272980608,14.06402059,0,8.860848136,20.09145798,10.61241114,4.057160274,6.153359749,0,3.87684204,8.790513927,4.643194536
106,180,281,0,170,366,232,9.272980608,14.47615306,0,8.757815018,18.85506057,11.95184167,4.04819453,6.319681461,0,3.823294834,8.231328878,5.21767295
107,180,278,0,170,368,230,9.272980608,14.32160338,0,8.757815018,18.95809369,11.84880855,4.032074302,6.227314755,0,3.808070174,8.243351906,5.152094941
