frame,Ca-O_SiO2_Surface,Ca-O_SiO2_Structural,Ca-O_Water_IF_CaCoord,CSH_Si-O_SiO2_Surface,CSH_Si-O_SiO2_Structural,Si_Surface-O_Hydroxyl_CSH,Si_Bulk-O_Hydroxyl_CSH,Si_Surface-O_NBO_CSH,Si_Bulk-O_NBO_CSH,Ca-O_SiO2_Surface_per_nm2,Ca-O_SiO2_Structural_per_nm2,Ca-O_Water_IF_CaCoord_per_nm2,CSH_Si-O_SiO2_Surface_per_nm2,CSH_Si-O_SiO2_Structural_per_nm2,Si_Surface-O_Hydroxyl_CSH_per_nm2,Si_Bulk-O_Hydroxyl_CSH_per_nm2,Si_Surface-O_NBO_CSH_per_nm2,Si_Bulk-O_NBO_CSH_per_nm2,Ca-O_SiO2_Surface_per_nm3,Ca-O_SiO2_Structural_per_nm3,Ca-O_Water_IF_CaCoord_per_nm3,CSH_Si-O_SiO2_Surface_per_nm3,CSH_Si-O_SiO2_Structural_per_nm3,Si_Surface-O_Hydroxyl_CSH_per_nm3,Si_Bulk-O_Hydroxyl_CSH_per_nm3,Si_Surface-O_NBO_CSH_per_nm3,Si_Bulk-O_NBO_CSH_per_nm3,Ca-O_SiO2_Surface_per_Ca,Ca-O_SiO2_Structural_per_Ca,Ca-O_Water_IF_CaCoord_per_Ca,CN_Ca_total_per_Ca
64,0,0,117,0,0,0,0,0,0,0,0,6.027437395,0,0,0,0,0,0,0,0,2.636632754,0,0,0,0,0,0,0,0,0.4775510204,0.4775510204
65,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.434797914,0,0,0,0,0,0,0,0,0.4390243902,0.4390243902
66,0,0,112,0,0,0,0,0,0,0,0,5.7698546,0,0,0,0,0,0,0,0,2.523216627,0,0,0,0,0,0,0,0,0.4571428571,0.4571428571
67,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.445263229,0,0,0,0,0,0,0,0,0.4485596708,0.4485596708
68,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.442480818,0,0,0,0,0,0,0,0,0.4448979592,0.4448979592
69,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.430204623,0,0,0,0,0,0,0,0,0.4412955466,0.4412955466
70,0,0,124,0,0,0,0,0,0,0,0,6.388053308,0,0,0,0,0,0,0,0,2.786232909,0,0,0,0,0,0,0,0,0.5040650407,0.5040650407
71,0,0,113,0,0,0,0,0,0,0,0,5.821371159,0,0,0,0,0,0,0,0,2.542217247,0,0,0,0,0,0,0,0,0.4612244898,0.4612244898
72,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.440175459,0,0,0,0,0,0,0,0,0.4448979592,0.4448979592
73,0,0,112,0,0,0,0,0,0,0,0,5.7698546,0,0,0,0,0,0,0,0,2.513485648,0,0,0,0,0,0,0,0,0.4534412955,0.4534412955
74,0,0,117,0,0,0,0,0,0,0,0,6.027437395,0,0,0,0,0,0,0,0,2.628768422,0,0,0,0,0,0,0,0,0.4736842105,0.4736842105
75,0,0,105,0,0,0,0,0,0,0,0,5.409238688,0,0,0,0,0,0,0,0,2.351075231,0,0,0,0,0,0,0,0,0.4268292683,0.4268292683
76,0,0,106,0,0,0,0,0,0,0,0,5.460755247,0,0,0,0,0,0,0,0,2.374648716,0,0,0,0,0,0,0,0,0.4291497976,0.4291497976
77,0,0,116,0,0,0,0,0,0,0,0,5.975920836,0,0,0,0,0,0,0,0,2.609260218,0,0,0,0,0,0,0,0,0.4754098361,0.4754098361
78,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.467911236,0,0,0,0,0,0,0,0,0.4489795918,0.4489795918
79,0,0,99,0,0,0,0,0,0,0,0,5.100139334,0,0,0,0,0,0,0,0,2.226795227,0,0,0,0,0,0,0,0,0.4040816327,0.4040816327
80,0,0,114,0,0,0,0,0,0,0,0,5.872887718,0,0,0,0,0,0,0,0,2.56714862,0,0,0,0,0,0,0,0,0.4710743802,0.4710743802
81,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.468224037,0,0,0,0,0,0,0,0,0.4526748971,0.4526748971
82,0,0,104,0,0,0,0,0,0,0,0,5.357722129,0,0,0,0,0,0,0,0,2.324031936,0,0,0,0,0,0,0,0,0.4227642276,0.4227642276
83,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.436694903,0,0,0,0,0,0,0,0,0.4485596708,0.4485596708
84,0,0,104,0,0,0,0,0,0,0,0,5.357722129,0,0,0,0,0,0,0,0,2.341288269,0,0,0,0,0,0,0,0,0.4262295082,0.4262295082
85,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.419432017,0,0,0,0,0,0,0,0,0.4349593496,0.4349593496
86,0,0,115,0,0,0,0,0,0,0,0,5.924404277,0,0,0,0,0,0,0,0,2.587816852,0,0,0,0,0,0,0,0,0.4655870445,0.4655870445
87,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.445940112,0,0,0,0,0,0,0,0,0.4412955466,0.4412955466
88,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.452728539,0,0,0,0,0,0,0,0,0.4448979592,0.4448979592
89,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.425795314,0,0,0,0,0,0,0,0,0.4390243902,0.4390243902
90,0,0,111,0,0,0,0,0,0,0,0,5.718338041,0,0,0,0,0,0,0,0,2.496693993,0,0,0,0,0,0,0,0,0.4530612245,0.4530612245
91,0,0,117,0,0,0,0,0,0,0,0,6.027437395,0,0,0,0,0,0,0,0,2.629594731,0,0,0,0,0,0,0,0,0.4775510204,0.4775510204
92,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.484830081,0,0,0,0,0,0,0,0,0.4526748971,0.4526748971
93,0,0,106,0,0,0,0,0,0,0,0,5.460755247,0,0,0,0,0,0,0,0,2.389451308,0,0,0,0,0,0,0,0,0.4344262295,0.4344262295
