z(Angstrom),Total_mass_gcm3_mean,Total_mass_gcm3_se,CSH_Si_gcm3_mean,CSH_Si_gcm3_se,Ca_gcm3_mean,Ca_gcm3_se,H_Hydroxyl_CSH_gcm3_mean,H_Hydroxyl_CSH_gcm3_se,H_SiO2_Hydroxyl_gcm3_mean,H_SiO2_Hydroxyl_gcm3_se,H_Unbonded_CSH_gcm3_mean,H_Unbonded_CSH_gcm3_se,H_Unbonded_SiO2_gcm3_mean,H_Unbonded_SiO2_gcm3_se,H_Water_CSH_gcm3_mean,H_Water_CSH_gcm3_se,H_Water_IF_gcm3_mean,H_Water_IF_gcm3_se,O_Bridging_CSH_gcm3_mean,O_Bridging_CSH_gcm3_se,O_Hydroxyl_CSH_gcm3_mean,O_Hydroxyl_CSH_gcm3_se,O_NBO_CSH_gcm3_mean,O_NBO_CSH_gcm3_se,O_SiO2_Structural_gcm3_mean,O_SiO2_Structural_gcm3_se,O_SiO2_Surface_gcm3_mean,O_SiO2_Surface_gcm3_se,O_Unclassified_CSH_gcm3_mean,O_Unclassified_CSH_gcm3_se,O_Water_CSH_gcm3_mean,O_Water_CSH_gcm3_se,O_Water_IF_gcm3_mean,O_Water_IF_gcm3_se,O_Water_IF_CaCoord_gcm3_mean,O_Water_IF_CaCoord_gcm3_se,Si_Bulk_gcm3_mean,Si_Bulk_gcm3_se,Si_Surface_gcm3_mean,Si_Surface_gcm3_se
 11.28916, 1.7307526292, 0.0236285767, 0.0378406565, 0.0069870259, 0.4011505125, 0.0176499885, 0.0183016923, 0.0007404826, 0, 0, 0, 0, 0, 0, 0.0505506106, 0.0011930251, 0, 0, 0.0804095277, 0.0054808783, 0.514278809, 0.0145023157, 0.0899902374, 0.005578938, 0, 0, 0, 0, 0, 0, 0.5382305832, 0.0094365186, 0, 0, 0, 0, 0, 0, 0, 0
 11.488968, 1.6466386086, 0.0365877544, 0.1351452017, 0.0063968321, 0.4020076717, 0.0195254536, 0.0207376066, 0.0005663794, 0, 0, 0, 0, 0, 0, 0.0499254645, 0.001204339, 0, 0, 0.067407136, 0.0034135684, 0.4225777306, 0.0142329764, 0.1224962167, 0.0067326139, 0, 0, 0, 0, 0, 0, 0.4263415809, 0.0156060608, 0, 0, 0, 0, 0, 0, 0, 0
 11.688776, 1.3191844228, 0.0362728903, 0.133943911, 0.0103586692, 0.3077201581, 0.0256839303, 0.0211471851, 0.000648195, 0, 0, 0, 0, 0, 0, 0.0526200599, 0.0008631069, 0, 0, 0.0427710254, 0.0042959702, 0.3048718688, 0.0103484484, 0.1019661245, 0.0066032351, 0, 0, 0, 0, 0, 0, 0.35414409, 0.0108530049, 0, 0, 0, 0, 0, 0, 0, 0
 11.888584, 1.3105629366, 0.0292986107, 0.1765897302, 0.0072967643, 0.311148795, 0.0173349723, 0.0195735413, 0.0005284011, 0, 0, 0.0000215568, 0.0000215568, 0, 0, 0.0525122761, 0.0011149135, 0, 0, 0.0745926682, 0.0058300862, 0.2672333665, 0.0100952592, 0.1060721429, 0.0047490134, 0, 0, 0, 0, 0, 0, 0.3028188596, 0.0092064701, 0, 0, 0, 0, 0, 0, 0, 0
 12.088393, 1.7660767835, 0.0442724882, 0.3375626815, 0.0212922765, 0.462865976, 0.0233338298, 0.0203926984, 0.0006509248, 0, 0, 0.0000215568, 0.0000215568, 0, 0, 0.0477266746, 0.0007744661, 0, 0, 0.1286552443, 0.0060111813, 0.2624430117, 0.0091984348, 0.2230936683, 0.0095420412, 0, 0, 0, 0, 0, 0, 0.283315272, 0.0088310243, 0, 0, 0, 0, 0, 0, 0, 0
 12.288201, 1.9767452021, 0.030874025, 0.4588930403, 0.0153345764, 0.4637231352, 0.0219143206, 0.0229363965, 0.0006189536, 0, 0, 0, 0, 0, 0, 0.0409578508, 0.0012373539, 0, 0, 0.1724527743, 0.0057384694, 0.2720237213, 0.0143450997, 0.2970020002, 0.0083872546, 0, 0, 0, 0, 0, 0, 0.2487562835, 0.0088849372, 0, 0, 0, 0, 0, 0, 0, 0
 12.488009, 2.0781052589, 0.0456683719, 0.5537950041, 0.0234967958, 0.4654374536, 0.0136396233, 0.0281100197, 0.0006141936, 0, 0, 0, 0, 0, 0, 0.0299207879, 0.0007371225, 0, 0, 0.1775852973, 0.0043131484, 0.3585922767, 0.0138068602, 0.2706550485, 0.0153221474, 0, 0, 0, 0, 0, 0, 0.1940093711, 0.0081770703, 0, 0, 0, 0, 0, 0, 0, 0
 12.687817, 2.0965629571, 0.029557458, 0.6126582475, 0.0208252087, 0.4371511995, 0.014261906, 0.0288645065, 0.0006601588, 0, 0, 0, 0, 0, 0, 0.0245747105, 0.0006310067, 0, 0, 0.1536335231, 0.0055833543, 0.391098256, 0.0108120479, 0.3007658504, 0.011857992, 0, 0, 0, 0, 0, 0, 0.1478166637, 0.0068864497, 0, 0, 0, 0, 0, 0, 0, 0
 12.887625, 2.0415432214, 0.036524122, 0.4648994937, 0.0153221888, 0.4645802944, 0.0280011481, 0.0223112503, 0.000751889, 0, 0, 0, 0, 0, 0, 0.0228717262, 0.0007568171, 0, 0, 0.1573973734, 0.0071083659, 0.3154790831, 0.009702143, 0.4311319357, 0.0137316764, 0, 0, 0, 0, 0, 0, 0.1628720646, 0.0080605662, 0, 0, 0, 0, 0, 0, 0, 0
 13.087433, 2.4681173277, 0.0338307179, 0.4733085285, 0.0134280103, 0.5365816684, 0.0172376626, 0.0234106453, 0.0006709078, 0, 0, 0, 0, 0, 0, 0.0213196392, 0.0007450924, 0, 0, 0.2473876107, 0.0064018622, 0.4246307399, 0.0121150333, 0.5372040786, 0.0129701253, 0, 0, 0, 0, 0, 0, 0.2042744172, 0.0101900353, 0, 0, 0, 0, 0, 0, 0, 0
 13.287241, 2.8091199087, 0.0310620121, 0.5934375966, 0.0122135538, 0.6368692966, 0.0258878813, 0.0237771102, 0.00074233, 0, 0, 0, 0, 0, 0, 0.0200693469, 0.0006204336, 0, 0, 0.3603031177, 0.010499779, 0.5081197814, 0.0090307708, 0.5019607537, 0.0178472092, 0, 0, 0, 0, 0, 0, 0.1645829056, 0.008562845, 0, 0, 0, 0, 0, 0, 0, 0
 13.48705, 2.6219861125, 0.027192016, 0.5075453129, 0.0106692995, 0.7080135114, 0.026327048, 0.0252645269, 0.0007456994, 0, 0, 0.0000215568, 0.0000215568, 0, 0, 0.016232243, 0.0006607513, 0, 0, 0.2822887674, 0.0086829007, 0.512567968, 0.0074453921, 0.4780089795, 0.0119594105, 0, 0, 0, 0, 0, 0, 0.0920432466, 0.0043416278, 0, 0, 0, 0, 0, 0, 0, 0
